class;bad_scores;;;;;;;;;;;;
03.02.2003;80.2;.ОПЛАТА ЗА УСЛУГИ СОТОВОЙ СВЯЗИ СОГЛ.N 10000631714;09.02.2009;80.2;;;;;;;;
03.02.2003;270045.72;ОПЛАТА ПО СЧЕТУ 1004091730799 ОТ 09.02.2009Г. В ТЧ;09.02.2009;270045.72;;;;;;;;
03.02.2003;3805.16;ОПЛАТА ЗА УСЛУГИ СОГЛ СЧ 100006091133 ОТ 07.01.200;09.02.2009;3805.16;;;;;;;;
03.02.2003;7358.37;ОПЛАТА ПО СЧ.100005701288 ОТ 12.12.2002Г. ЗА УСЛУГ;09.02.2009;7358.37;;;;;;;;
03.02.2003;11051.72;ОПЛАТА ПО СЧ.100005701239 ОТ 12.12.2002Г. ЗА УСЛУГ;09.02.2009;11051.72;;;;;;;;
03.02.2003;2242;ЗА УСЛУГИ СВЯЗИ С-НО ДОГ. ЗА ЯНВАРЬ 2009Г. ВКЛЮЧАЯ;09.02.2009;2242.0;;;;;;;;
03.02.2003;676.49;ОПЛАТА СЧЕТА N 100006245056 ОТ 17.01.2009Г.ОПЛАТА ;09.02.2009;676.49;;;;;;;;
03.02.2003;3850.9;ОПЛАТА СЧЕТА N 100006245052 ОТ 17.01.2009Г.ОПЛАТА ;09.02.2009;3850.9;;;;;;;;
03.02.2003;4831.33;ПРЕДОПЛАТА ПО ДОГ 41867295 ОТ 19.06.2002 ЗА УСЛ ТЕ;09.02.2009;4831.33;;;;;;;;
03.02.2003;6752.1;ОПЛАТА ПО СЧЕТУ 4396465300018 ОТ 30.01.09.43964653;09.02.2009;6752.1;;;;;;;;
03.02.2003;8393.12;ОПЛАТА ПО СЧ 100006373960 ОТ 27/01/09 КЛИЕНТ 22271;09.02.2009;8393.12;;;;;;;;
03.02.2003;5428.5;ПО СЧ 10005947376 10005947376 ОТ 27.12.02 ЗА МОБИЛ;09.02.2009;5428.5;;;;;;;;
03.02.2003;4740.66;СЧ 6198967 ОТ 17.01.09Г УСЛУГИ СВЯЗИ КЛИЕНТ 218461;09.02.2009;4740.66;;;;;;;;
03.02.2003;45500;ОПЛ УСЛУГ СВЯЗИ ПО СЧ 10000593 ОТ 27.12.02Г В Т.Ч.;09.02.2009;45500.0;;;;;;;;
03.02.2003;4279.22;ОПЛАТА ЗА УСЛУГИ СВЯЗИ СОГЛАСНО СЧЕТА N 1000063697;09.02.2009;4279.22;;;;;;;;
