Congo. Rep.,0,2913934094,14085852120,9306801119,5.968928863,5245011510,8.243779905,3.208333333,-7.23598008,0,-60000,0,6,49,55.8,0,2.605858134,0,7,6.099999905,2835708,0,0,0,0,0
Colombia,-12330449699,16208664127,3.80063E+11,76852059999,2.022774948,43158796415,14.76152348,4.170017565,69.84241187,2.02693E+11,-144998,6.638722979,4,10,76.1,13.27213342,3.420874416,25.11842196,12.80000019,7.300000191,35924805,16.89999962,14.5,22.89999962,78.59999847,53.09999847
Comoros,0,9456724.152,598925539.7,370280818.1,0,174071480.5,8.243779905,1.75,26.89885584,0,-10000,0,6,33,216.5,0,0,0,7,6.199999809,211257,0,0,0,0,0
Cabo Verde,-90292079.36,93377246.38,1837908563,0,1.512153759,475334071.3,0,4.174495351,84.64950935,0,-11052,0,2,30,36.5,17.84330711,0.517295732,22.04764256,11.30000019,7.599999905,325289,0,0,0,0,0
Costa Rica,-2332632994,3291215210,49236710394,19219470309,5.224285869,7333154703,9.745333458,3.8775,56.91031822,0,19658,0,2,23,58,13.66392219,0,27.05060078,11.10000038,7,3527754,12.69999981,11.39999962,23.70000076,85.09999847,57.70000076
Caribbean small states,0,3938617759,69287048038,33279765554,1.059497824,0,0,0,43.26415285,0,-124122,0,5.076923077,35.46153846,38.47692308,0,0,0,14.48160758,8.490695024,2930207,0,0,0,0,0
Cuba,0,0,77149700000,15601800000,0,0,0,0,0,0,-79999,0,0,0,0,0,3.51316985,0,3.799999952,2.799999952,8734585,18.60000038,11.30000019,20.79999924,81,54.09999847
Curacao,0,17480446.93,0,0,0,0,0,0,0,0,5710,0,0,0,0,0,0,0,0,0,137727,0,0,0,0,0
Cayman Islands,0,12636621000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58369,0.800000012,2,29,97.69999695,69.5
Cyprus,-734947568.9,3765400619,24057251749,11630542696,-0.400053061,916262005.1,6.41462105,0,0,2104730000,35000,0.171341267,7,30,22.5,23.27069395,1.763348187,40.35060334,14.89999962,16.5,766425,2.5,7.5,27.10000038,91.09999847,69.09999847
Czech Republic,-1105890387,7357578653,2.08328E+11,1.489E+11,1.434726602,56217653239,7.208622295,0.861548173,69.66990581,0,29999,0,5,8,50,13.46926101,0.999858012,33.16762379,8.300000191,5.900000095,7681727,3,23.10000038,49.09999847,74.80000305,47.20000076
Germany,2.42325E+11,59014769119,3.74532E+12,1.47875E+12,1.504722267,1.98535E+11,5.452524789,0,0,1.93611E+12,1249998,36.93721933,6,9,49.1,11.49749897,1.272715026,28.21159696,4.900000095,5.599999905,60395494,1.299999952,14.10000038,40.20000076,85,58.09999847
Djibouti,-308528536.3,286004467.7,1455416074,0,2.420593208,424961517.7,0,2.031958333,0,0,-15996,0,1,36,37.6,0,0,0,0,0,667315,0,0,0,0,0
Dominica,-72149157.41,17915757.41,506666666.7,243703703.7,-0.046411647,87050886.94,0,3.050412748,63.08887903,0,0,0,6,37,37,23.10687023,0,25.80152672,0,0,49662,0,0,0,0,0
Denmark,24248056106,-862218938.5,3.35878E+11,1.63011E+11,0.78261432,88676585996,7.061486529,0,219.4774553,0,96839,0,8,10,26.3,33.39565101,1.257638255,43.09396024,7.300000191,6.699999809,4903183,2.299999952,9.199999809,29.10000038,89.59999847,67
Dominican Republic,-2466982406,1599900000,61366326096,19133787559,4.830950967,4700626509,9.115808296,6.019860778,47.68690808,0,-153010,0,1,7,43.5,0,0.605725286,0,23.39999962,9.5,7925115,14.19999981,8.800000191,21.10000038,41.29999924,43.70000076
Algeria,869252874.4,1691886708,2.09704E+11,63767462869,3.253684177,2.01437E+11,7.477740529,1.75,3.004281232,0,-143268,0,2,27,72.7,0,4.961963949,0,17.29999924,8.300000191,26543182,0,0,0,0,0
Europe & Central Asia (developing only),0,48305706378,1.87964E+12,7.35307E+11,2.784383849,0,14.16975517,0,67.42546137,2.53567E+11,1003278,0,6.052631579,30.42105263,37.46842105,19.20926207,2.026900401,33.8983391,9.24542809,9.287119842,155587326,22.21238025,14.85176886,31.77228984,59.11347601,47.63683384
Europe & Central Asia (all income levels),0,6.57116E+11,2.29499E+13,8.93511E+12,1.604392981,0,9.825760161,0,0,1.32507E+13,5547385,36.17511672,5.510204082,19.26530612,40.06530612,18.67549847,1.8106809,37.84131603,9.360953791,9.511219981,632333648,8.430785647,13.45727687,34.54621613,78.27922477,56.16989667
Ecuador,-1290492131,732016206.3,94776170000,29874069000,2.738631757,4345840372,0,3.89,0,0,-38001,0,1,8,33.7,0,2.783400089,0,5.5,3.299999952,9913297,25.29999924,12.30000019,25.60000038,67.5,45.90000153
Egypt. Arab Rep.,-3533700000,4192200000,2.71973E+11,67399869699,9.42157654,16536237510,7.1,7.683333333,86.19926313,61629650000,-215681,4.709687484,2,29,40.6,13.16470962,1.708407004,30.49590606,27,8.800000191,37695884,28,5,29,52.09999847,46.90000153
Euro area,0,5.21427E+11,1.31888E+13,5.23013E+12,1.374906203,0,6.860429474,0,0,7.09241E+12,1575613,38.88864878,4.842105263,11.63157895,43.84736842,17.20918258,1.481548397,38.29162054,12.14790066,11.97091819,254613293,3.182825653,11.73173427,34.5669621,85.45009753,60.65638573
Eritrea,0,43858858.13,0,0,0,0,0,0,0,0,-160001,0,0,30,83.7,0,0,0,7.599999905,6.699999809,1087994,0,0,0,0,0
Spain,20083069547,45098883200,1.36926E+12,3.9365E+11,1.408628285,46335468959,6.79162346,0,0,1.11656E+12,-593069,67.42625529,5,9,57.1,7.161856872,0.920707631,32.9958039,27,25.79999924,36889975,4.199999809,8.5,29.29999924,89.30000305,64.69999695
